state,Acqua di Gio Profondo,Ariana Grande Cloud,Aventus Cologne,Bleu de Chanel,Byredo Mojave Ghost,Chanel No 5,Coco Mademoiselle,Creed Aventus,Dior Sauvage,Ellis Brooklyn Myth,Glossier You,Gucci Bloom,J'adore Dior,Jo Malone English Pear Freesia,Lancome La Vie Est Belle,Le Labo Santal 33,Light Blue Dolce Gabbana,Maison Francis Kurkdjian Baccarat Rouge 540,Marc Jacobs Daisy,Old Spice,Phlur Missing Person,Polo Blue,Sol de Janeiro Cheirosa 62,Tom Ford Lost Cherry,Tom Ford Tobacco Vanille,Versace Eros,Viktor Rolf Flowerbomb,YSL Black Opium,Yves Saint Laurent Y
Alabama,3,46,8,22,11,6,39,30,40,0,51,20,5,4,14,18,30,9,50,57,8,56,6,17,5,31,7,4,3
Alaska,0,0,0,31,0,13,100,28,41,0,51,24,0,0,22,2,24,1,53,76,0,42,47,0,0,45,0,0,0
Arizona,4,41,8,25,13,7,41,28,38,0,45,22,5,5,14,25,31,11,42,56,6,44,3,21,5,40,11,4,5
Arkansas,4,42,9,20,11,6,47,28,44,0,56,23,4,0,15,21,29,10,43,58,0,51,0,23,4,36,9,4,3
California,4,31,7,25,23,7,37,29,38,0,42,21,6,9,14,29,30,13,41,57,7,49,5,17,4,35,11,4,5
Colorado,4,40,6,24,14,7,41,28,39,0,48,22,4,5,16,26,25,13,41,65,7,47,3,16,5,36,8,5,5
Connecticut,3,34,5,25,14,7,44,28,40,0,50,23,6,8,14,24,28,13,41,61,6,55,4,16,4,30,9,3,5
Delaware,0,41,6,23,15,8,44,28,45,0,59,18,5,0,13,20,29,11,58,60,0,53,0,21,4,28,0,5,6
District of Columbia,4,22,7,23,33,10,45,32,36,0,50,23,9,0,13,28,21,16,37,63,7,60,0,15,5,26,11,4,0
Florida,3,33,8,21,16,6,44,33,39,1,39,21,7,6,17,29,34,15,37,51,6,49,6,20,4,35,10,4,6
Georgia,4,34,9,24,17,7,43,27,40,1,46,20,8,5,14,22,26,13,43,57,7,50,4,21,5,34,10,4,5
Hawaii,4,40,5,21,22,6,38,30,41,0,50,20,6,0,14,32,24,13,46,65,0,52,0,18,4,38,7,4,0
Idaho,5,47,4,24,17,6,36,23,42,0,58,20,4,0,14,24,20,8,48,72,0,40,0,18,6,45,10,5,4
Illinois,3,37,8,24,16,7,41,28,40,0,45,21,7,6,15,25,27,14,40,58,8,48,3,19,5,35,10,4,6
Indiana,4,39,7,22,10,8,45,28,41,0,53,20,5,6,14,15,27,11,48,61,6,42,6,20,5,41,7,5,4
Iowa,3,45,6,25,0,7,55,29,39,0,49,18,2,0,12,18,25,11,49,67,8,42,7,18,4,43,10,4,4
Kansas,3,30,6,24,15,7,46,26,42,0,61,25,5,9,17,16,23,9,40,66,4,47,4,15,5,37,9,4,5
Kentucky,3,45,7,20,12,6,38,30,42,0,52,19,3,5,15,17,27,12,44,63,6,45,4,21,5,42,10,3,4
Louisiana,2,36,11,20,11,7,49,33,40,0,48,22,6,4,16,21,31,10,43,52,4,56,6,21,5,31,9,3,3
Maine,0,47,4,21,0,12,53,32,47,0,51,20,4,0,17,22,22,13,34,70,0,50,0,27,0,33,16,5,0
Maryland,3,36,8,24,16,7,42,29,39,0,46,22,8,6,13,21,26,13,42,58,8,48,5,20,5,36,10,4,5
Massachusetts,3,28,7,26,16,8,49,30,36,1,48,22,6,6,17,25,29,14,38,58,7,50,5,15,5,32,9,5,5
Michigan,3,40,7,24,13,8,40,29,39,2,51,23,5,5,15,18,26,11,42,62,6,45,4,21,5,38,9,5,4
Minnesota,3,36,5,24,15,8,42,31,38,0,58,22,5,7,16,14,23,13,36,67,10,46,4,14,4,37,13,4,5
Mississippi,3,47,8,21,12,6,35,29,43,0,54,22,5,6,16,16,34,9,45,53,9,58,0,21,4,30,8,3,3
Missouri,3,40,6,21,10,8,42,28,43,0,53,20,5,8,16,20,27,13,42,62,6,47,5,16,5,37,9,4,4
Montana,0,0,0,30,0,12,100,26,44,0,98,0,0,0,0,0,19,0,100,81,0,45,0,2,0,43,0,0,0
Nebraska,2,53,6,26,0,8,47,29,40,0,58,17,4,0,11,17,22,17,47,68,0,46,0,25,3,38,8,3,5
Nevada,4,31,8,22,27,8,38,32,37,0,42,23,6,4,16,27,33,12,41,53,9,40,0,22,5,43,8,4,5
New Hampshire,3,48,4,24,1,9,51,26,43,0,57,26,3,0,14,17,22,20,40,71,10,49,0,16,4,36,0,0,6
New Jersey,3,32,9,24,19,7,42,32,36,0,41,22,7,7,16,29,30,14,38,54,9,49,4,17,5,36,10,4,4
New Mexico,3,60,7,25,0,8,40,28,39,0,50,20,4,0,13,18,32,8,50,57,0,37,0,32,5,48,9,2,5
New York,3,29,7,24,21,7,42,31,37,0,41,24,8,8,17,30,27,14,36,58,7,54,5,17,5,30,9,4,5
North Carolina,3,39,7,24,11,8,43,29,39,1,49,22,5,6,14,20,26,11,43,62,8,49,5,18,5,35,10,4,4
North Dakota,0,53,10,27,0,11,47,31,42,0,97,46,0,0,0,0,24,0,54,66,3,39,0,0,0,44,0,0,6
Ohio,4,42,6,22,12,9,40,29,39,0,51,20,4,6,16,16,25,11,45,65,9,43,5,19,6,39,8,4,5
Oklahoma,3,46,8,22,13,8,41,30,41,0,49,23,4,0,14,23,26,9,43,62,10,43,0,18,4,40,11,4,5
Oregon,4,32,6,24,18,8,42,28,37,0,54,22,4,8,14,19,23,14,41,67,8,43,4,15,7,39,9,4,6
Pennsylvania,3,40,6,24,14,8,39,29,39,0,52,21,6,7,15,19,22,12,43,66,8,47,3,18,5,36,9,4,5
Rhode Island,4,39,6,21,18,5,43,29,41,0,60,17,4,0,24,17,27,14,36,63,0,51,0,23,5,36,9,4,4
South Carolina,3,45,8,19,12,7,38,29,44,0,49,22,4,5,14,18,26,11,45,62,8,55,5,20,5,31,8,4,3
South Dakota,0,0,5,30,0,9,100,23,47,0,65,32,0,0,0,0,28,0,68,67,0,44,0,35,0,40,0,7,0
Tennessee,3,39,9,21,10,7,46,31,40,0,50,20,4,5,15,18,27,12,43,60,8,49,5,19,5,36,10,4,4
Texas,3,37,9,23,14,6,43,30,40,1,39,21,6,5,16,28,32,12,41,53,6,48,5,22,4,39,10,3,4
Utah,3,43,6,24,13,6,37,29,40,0,51,22,4,7,16,21,23,14,41,67,9,43,7,12,4,40,7,5,6
Vermont,0,0,0,28,0,19,100,28,44,0,100,42,0,0,0,0,23,0,58,77,0,45,0,0,0,36,0,0,0
Virginia,4,33,7,25,16,8,43,28,38,1,47,22,6,7,16,20,27,12,40,60,6,47,6,21,5,36,10,4,5
Washington,3,30,6,26,20,8,42,29,37,0,47,22,6,8,15,23,25,15,38,63,8,44,5,17,5,38,10,5,5
West Virginia,0,53,5,21,0,8,47,30,43,0,46,28,3,0,1,14,22,16,55,70,18,40,0,22,6,44,0,4,4
Wisconsin,3,39,6,24,12,8,41,29,39,0,52,20,5,8,14,19,24,11,46,65,6,46,5,18,5,37,9,3,6
Wyoming,6,24,1,27,13,2,46,19,44,0,34,22,11,17,23,26,14,23,25,74,8,63,20,12,4,23,7,2,10
